transaccion_id,cuenta_id,cliente_id,fecha_hora,monto,moneda,tipo_transaccion,canal,sucursal_id,producto
TXN-00022501,CTA-620218,CLI-10165,2026-06-06 04:46:00,1016326.77,CRC,transferencia,web,PU-001,Cuenta Corriente
TXN-00022502,CTA-271061,CLI-67481,2026-06-02 15:04:00,1830324.26,CRC,pago,web,HE-001,Cuenta Corriente
TXN-00022503,CTA-162828,CLI-96162,2026-06-27 07:43:00,2611265.67,CRC,pago,sucursal,SJ-001,Cuenta Ahorro
TXN-00022504,CTA-382535,CLI-95551,2026-06-27 23:20:00,1525879.25,CRC,retiro,sinpe,HE-001,Préstamo Personal
TXN-00022505,CTA-456442,CLI-52941,2026-06-23 16:57:00,4950750.27,CRC,comision,sucursal,CA-001,Cuenta Corriente
TXN-00022506,CTA-372274,CLI-53143,2026-06-19 01:16:00,2847616.63,CRC,pago,web,PU-001,Cuenta Ahorro
TXN-00022507,CTA-190728,CLI-60256,2026-06-28 21:52:00,480719.53,CRC,deposito,sucursal,LI-002,Cuenta Corriente
TXN-00022508,CTA-613361,CLI-60288,2026-06-09 18:28:00,1415015.69,CRC,retiro,atm,PU-001,Préstamo Personal
TXN-00022509,CTA-143692,CLI-42882,2026-06-23 01:02:00,839169.22,CRC,transferencia,sinpe,PU-001,Cuenta Corriente
TXN-00022510,CTA-278427,CLI-80661,2026-06-18 19:01:00,4410859.23,CRC,deposito,atm,CA-001,Cuenta Ahorro
TXN-00022511,CTA-927338,CLI-50318,2026-06-13 13:31:00,1338375.39,CRC,retiro,web,LI-001,Cuenta Corriente
TXN-00022512,CTA-610488,CLI-22637,2026-06-09 00:34:00,3597475.3,CRC,retiro,sucursal,SJ-002,Cuenta Corriente
TXN-00022513,CTA-804802,CLI-49592,2026-06-04 05:16:00,4031669.24,CRC,deposito,web,HE-001,Préstamo Personal
TXN-00022514,CTA-559046,CLI-17118,2026-06-15 00:12:00,3501279.54,CRC,pago,sinpe,LI-001,Cuenta Corriente
TXN-00022515,CTA-272994,CLI-95905,2026-06-18 01:25:00,3412166.36,CRC,pago,atm,LI-002,Tarjeta Crédito
TXN-00022516,CTA-516539,CLI-64741,2026-06-05 01:53:00,4352617.61,CRC,transferencia,sinpe,LI-002,Cuenta Ahorro
TXN-00022517,CTA-163167,CLI-90870,2026-06-19 01:28:00,1801235.41,CRC,transferencia,sucursal,LI-001,Tarjeta Crédito
TXN-00022518,CTA-328757,CLI-10146,2026-06-05 22:35:00,3753858.57,CRC,deposito,sinpe,AL-001,Préstamo Hipotecario
TXN-00022519,CTA-223801,CLI-94405,2026-06-21 05:32:00,1152078.54,CRC,deposito,sucursal,HE-001,Cuenta Ahorro
TXN-00022520,CTA-742715,CLI-59372,2026-06-29 22:07:00,79510.55,CRC,comision,sucursal,LI-001,Cuenta Corriente
TXN-00022521,CTA-985032,CLI-69802,2026-06-16 08:21:00,822318.58,CRC,comision,atm,LI-002,Cuenta Ahorro
TXN-00022522,CTA-756135,CLI-73501,2026-06-05 05:32:00,3138463.47,CRC,retiro,sinpe,CA-001,Préstamo Hipotecario
TXN-00022523,CTA-425148,CLI-32069,2026-06-02 04:48:00,2053392.7,CRC,transferencia,sucursal,LI-002,Cuenta Ahorro
TXN-00022524,CTA-564094,CLI-56119,2026-06-01 02:51:00,4414711.54,CRC,retiro,sucursal,HE-001,Cuenta Ahorro
TXN-00022525,CTA-475819,CLI-65621,2026-06-21 06:37:00,260008.15,CRC,transferencia,web,LI-001,Tarjeta Crédito
TXN-00022526,CTA-164721,CLI-61525,2026-06-21 23:14:00,1201292.82,CRC,comision,app_movil,LI-002,Cuenta Corriente
TXN-00022527,CTA-310366,CLI-30449,2026-06-15 06:59:00,4204660.62,CRC,deposito,app_movil,LI-002,Préstamo Personal
TXN-00022528,CTA-316172,CLI-22093,2026-06-27 22:48:00,4126539.82,CRC,retiro,sinpe,LI-001,Préstamo Personal
TXN-00022529,CTA-370730,CLI-67405,2026-06-25 04:01:00,1464330.85,CRC,comision,atm,LI-002,Préstamo Personal
TXN-00022530,CTA-601062,CLI-23262,2026-06-07 15:49:00,3841185.34,CRC,transferencia,sinpe,LI-001,Cuenta Ahorro
TXN-00022531,CTA-287679,CLI-49676,2026-06-01 08:42:00,987041.03,CRC,deposito,web,CA-001,Cuenta Ahorro
TXN-00022532,CTA-312895,CLI-77639,2026-06-05 19:21:00,2470542.19,CRC,comision,app_movil,CA-001,Cuenta Corriente
TXN-00022533,CTA-628262,CLI-30429,2026-06-06 09:21:00,1240855.68,CRC,pago,app_movil,SJ-002,Cuenta Ahorro
TXN-00022534,CTA-167842,CLI-99671,2026-06-18 03:55:00,1780460.47,CRC,comision,sinpe,SJ-002,Préstamo Personal
TXN-00022535,CTA-788234,CLI-36958,2026-06-08 08:57:00,3409720.67,CRC,pago,web,SJ-002,Cuenta Corriente
TXN-00022536,CTA-523483,CLI-49363,2026-06-24 02:35:00,751770.94,CRC,comision,atm,LI-001,Préstamo Hipotecario
TXN-00022537,CTA-961729,CLI-41231,2026-06-10 09:43:00,4605259.76,CRC,pago,app_movil,PU-001,Cuenta Corriente
TXN-00022538,CTA-228917,CLI-43059,2026-06-02 13:10:00,80974.9,CRC,comision,sucursal,HE-001,Préstamo Personal
TXN-00022539,CTA-125391,CLI-23410,2026-06-23 05:39:00,2343778.66,CRC,pago,web,PU-001,Préstamo Personal
TXN-00022540,CTA-284380,CLI-44880,2026-06-06 09:11:00,1138599.24,CRC,deposito,atm,SJ-002,Cuenta Corriente
TXN-00022541,CTA-981166,CLI-22699,2026-06-12 10:38:00,2067374.87,CRC,retiro,sinpe,SJ-001,Tarjeta Crédito
TXN-00022542,CTA-856566,CLI-33299,2026-06-21 13:04:00,3891893.39,CRC,deposito,app_movil,SJ-002,Préstamo Hipotecario
TXN-00022543,CTA-179555,CLI-84570,2026-06-22 05:27:00,4925434.23,CRC,retiro,app_movil,SJ-001,Tarjeta Crédito
TXN-00022544,CTA-465507,CLI-74501,2026-06-29 11:28:00,2553679.45,CRC,retiro,web,PU-001,Préstamo Hipotecario
TXN-00022545,CTA-236671,CLI-47786,2026-06-10 04:32:00,2572611.12,CRC,retiro,sinpe,CA-001,Cuenta Corriente
TXN-00022546,CTA-923462,CLI-98504,2026-06-01 03:08:00,3279819.59,CRC,deposito,app_movil,AL-001,Préstamo Hipotecario
TXN-00022547,CTA-500909,CLI-73747,2026-06-08 02:26:00,3508733.48,CRC,pago,web,CA-001,Préstamo Hipotecario
TXN-00022548,CTA-648865,CLI-76024,2026-06-20 01:06:00,2352854.87,CRC,transferencia,sinpe,LI-001,Cuenta Ahorro
TXN-00022549,CTA-273936,CLI-34819,2026-06-04 22:55:00,463602.82,CRC,pago,atm,LI-001,Tarjeta Crédito
TXN-00022550,CTA-441397,CLI-85321,2026-06-29 23:50:00,4425345.56,CRC,transferencia,app_movil,HE-001,Préstamo Personal
TXN-00022551,CTA-843659,CLI-10778,2026-06-18 14:50:00,282730.25,CRC,deposito,app_movil,AL-001,Cuenta Corriente
TXN-00022552,CTA-877363,CLI-89498,2026-06-30 19:42:00,2108796.36,CRC,comision,app_movil,CA-001,Cuenta Corriente
TXN-00022553,CTA-649297,CLI-87540,2026-06-18 15:30:00,3806291.87,CRC,deposito,sucursal,LI-001,Préstamo Hipotecario
TXN-00022554,CTA-448094,CLI-13055,2026-06-26 16:05:00,2952427.05,CRC,comision,app_movil,SJ-002,Cuenta Ahorro
TXN-00022555,CTA-940037,CLI-69273,2026-06-12 04:39:00,880525.71,CRC,pago,web,SJ-001,Préstamo Personal
TXN-00022556,CTA-498669,CLI-11561,2026-06-14 13:49:00,1091491.41,CRC,comision,web,CA-001,Cuenta Corriente
TXN-00022557,CTA-926241,CLI-24821,2026-06-06 06:24:00,4945409.64,CRC,transferencia,sucursal,LI-002,Tarjeta Crédito
TXN-00022558,CTA-814685,CLI-41190,2026-06-24 21:28:00,4277422.14,CRC,transferencia,web,SJ-001,Tarjeta Crédito
TXN-00022559,CTA-220794,CLI-20239,2026-06-23 23:09:00,838874.69,CRC,retiro,sucursal,SJ-002,Préstamo Personal
TXN-00022560,CTA-181427,CLI-60476,2026-06-15 17:58:00,2908413.6,CRC,deposito,sucursal,SJ-002,Préstamo Hipotecario
TXN-00022561,CTA-792330,CLI-10054,2026-06-23 20:51:00,2334995.47,CRC,deposito,sinpe,LI-002,Tarjeta Crédito
