transaccion_id,cuenta_id,cliente_id,fecha_hora,monto,moneda,tipo_transaccion,canal,sucursal_id,producto
TXN-00000001,CTA-388389,CLI-42098,2026-06-30 02:25:00,126028.77,CRC,retiro,sucursal,SJ-002,Cuenta Corriente
TXN-00000002,CTA-133326,CLI-13905,2026-06-25 19:41:00,2952872.07,CRC,deposito,sucursal,SJ-002,Cuenta Ahorro
TXN-00000003,CTA-850800,CLI-95181,2026-06-23 23:58:00,2806664.07,CRC,comision,web,SJ-001,Cuenta Ahorro
TXN-00000004,CTA-106814,CLI-30926,2026-06-21 10:39:00,4047342.85,CRC,pago,atm,HE-001,Tarjeta Crédito
TXN-00000005,CTA-452944,CLI-23396,2026-06-08 01:49:00,4786108.15,CRC,deposito,web,CA-001,Cuenta Corriente
TXN-00000006,CTA-946335,CLI-15695,2026-06-17 08:06:00,3019026.43,CRC,pago,sinpe,LI-001,Cuenta Corriente
TXN-00000007,CTA-969693,CLI-92397,2026-06-18 05:27:00,2760651.12,CRC,comision,atm,SJ-002,Préstamo Hipotecario
TXN-00000008,CTA-338968,CLI-47930,2026-06-09 18:01:00,230076.09,CRC,deposito,sucursal,SJ-002,Cuenta Corriente
TXN-00000009,CTA-974628,CLI-57819,2026-06-18 07:11:00,2267598.1,CRC,retiro,atm,HE-001,Tarjeta Crédito
TXN-00000010,CTA-816751,CLI-94939,2026-06-10 12:50:00,3509399.75,CRC,deposito,sinpe,HE-001,Cuenta Ahorro
TXN-00000011,CTA-497887,CLI-45382,2026-06-25 07:25:00,817849.07,CRC,comision,sucursal,CA-001,Tarjeta Crédito
TXN-00000012,CTA-944151,CLI-51347,2026-06-03 13:05:00,4109191.17,CRC,pago,atm,CA-001,Cuenta Corriente
TXN-00000013,CTA-623481,CLI-61856,2026-06-10 14:26:00,1063920.09,CRC,pago,sucursal,LI-001,Tarjeta Crédito
TXN-00000014,CTA-665158,CLI-44438,2026-06-07 08:30:00,3725199.92,CRC,comision,web,CA-001,Préstamo Hipotecario
TXN-00000015,CTA-245051,CLI-76784,2026-06-19 04:15:00,1097384.48,CRC,pago,app_movil,LI-001,Cuenta Corriente
TXN-00000016,CTA-930555,CLI-99192,2026-06-05 23:45:00,3137602.76,CRC,pago,sinpe,AL-001,Cuenta Corriente
TXN-00000017,CTA-590785,CLI-79352,2026-06-18 12:16:00,2979846.25,CRC,transferencia,sinpe,PU-001,Cuenta Corriente
TXN-00000018,CTA-456699,CLI-24621,2026-06-06 05:07:00,3843225.06,CRC,transferencia,web,HE-001,Cuenta Ahorro
TXN-00000019,CTA-854639,CLI-44522,2026-06-21 15:35:00,4769125.82,CRC,comision,sucursal,SJ-001,Préstamo Hipotecario
TXN-00000020,CTA-632323,CLI-89818,2026-06-05 20:13:00,4208505.07,CRC,retiro,sucursal,HE-001,Tarjeta Crédito
TXN-00000021,CTA-612340,CLI-12552,2026-06-08 08:27:00,2995123.98,CRC,deposito,atm,SJ-001,Tarjeta Crédito
TXN-00000022,CTA-694916,CLI-20322,2026-06-11 21:32:00,1205117.09,CRC,deposito,web,SJ-001,Cuenta Corriente
TXN-00000023,CTA-598369,CLI-82063,2026-06-25 05:51:00,642828.93,CRC,retiro,atm,AL-001,Préstamo Hipotecario
TXN-00000024,CTA-665492,CLI-36365,2026-06-28 14:33:00,4821850.17,CRC,transferencia,web,PU-001,Tarjeta Crédito
TXN-00000025,CTA-335612,CLI-18392,2026-06-20 22:31:00,605899.98,CRC,transferencia,app_movil,LI-002,Préstamo Hipotecario
TXN-00000026,CTA-107540,CLI-19305,2026-06-26 05:01:00,2942612.13,CRC,deposito,sucursal,CA-001,Cuenta Corriente
TXN-00000027,CTA-349565,CLI-46500,2026-06-02 10:18:00,355215.89,CRC,pago,sucursal,LI-001,Préstamo Hipotecario
TXN-00000028,CTA-595948,CLI-63354,2026-06-07 00:31:00,1215743.21,CRC,retiro,app_movil,LI-002,Cuenta Corriente
TXN-00000029,CTA-531071,CLI-71213,2026-06-30 23:47:00,1772133.54,CRC,deposito,app_movil,PU-001,Cuenta Corriente
TXN-00000030,CTA-214576,CLI-42591,2026-06-19 07:46:00,4003161.96,CRC,retiro,sucursal,LI-001,Préstamo Hipotecario
TXN-00000031,CTA-392075,CLI-70637,2026-06-21 10:00:00,2109986.32,CRC,retiro,app_movil,AL-001,Préstamo Personal
TXN-00000032,CTA-666847,CLI-11934,2026-06-26 01:06:00,253891.06,CRC,deposito,sucursal,SJ-002,Cuenta Ahorro
TXN-00000033,CTA-520521,CLI-17685,2026-06-19 11:54:00,2407310.73,CRC,retiro,web,LI-002,Cuenta Corriente
TXN-00000034,CTA-923267,CLI-69638,2026-06-18 18:26:00,4632663.85,CRC,transferencia,web,HE-001,Préstamo Hipotecario
TXN-00000035,CTA-328275,CLI-17665,2026-06-23 03:34:00,950299.44,CRC,comision,sinpe,AL-001,Cuenta Corriente
TXN-00000036,CTA-599948,CLI-75909,2026-06-15 06:32:00,251661.54,CRC,comision,sucursal,SJ-001,Cuenta Corriente
TXN-00000037,CTA-171849,CLI-87992,2026-06-24 02:41:00,4256861.38,CRC,deposito,sucursal,SJ-002,Préstamo Personal
TXN-00000038,CTA-141672,CLI-91183,2026-06-06 10:56:00,2895016.37,CRC,deposito,web,CA-001,Préstamo Hipotecario
TXN-00000039,CTA-314181,CLI-97782,2026-06-26 17:22:00,4673596.58,CRC,transferencia,sucursal,LI-001,Tarjeta Crédito
TXN-00000040,CTA-414569,CLI-69929,2026-06-19 00:18:00,3358779.42,CRC,transferencia,app_movil,AL-001,Cuenta Corriente
TXN-00000041,CTA-323508,CLI-76307,2026-06-21 20:34:00,367230.34,CRC,transferencia,sucursal,SJ-002,Tarjeta Crédito
TXN-00000042,CTA-265409,CLI-67433,2026-06-04 03:08:00,1848265.92,CRC,comision,atm,CA-001,Préstamo Hipotecario
TXN-00000043,CTA-681542,CLI-49240,2026-06-30 18:18:00,3339648.16,CRC,deposito,sucursal,SJ-001,Tarjeta Crédito
TXN-00000044,CTA-262998,CLI-45697,2026-06-06 06:04:00,3712341.0,CRC,transferencia,sinpe,SJ-002,Cuenta Ahorro
TXN-00000045,CTA-994343,CLI-44600,2026-06-16 14:31:00,3437798.15,CRC,comision,web,CA-001,Tarjeta Crédito
TXN-00000046,CTA-969634,CLI-46265,2026-06-03 07:29:00,3171787.95,CRC,deposito,app_movil,SJ-002,Tarjeta Crédito
TXN-00000047,CTA-563298,CLI-82309,2026-06-06 22:53:00,808748.3,CRC,pago,sinpe,HE-001,Cuenta Corriente
TXN-00000048,CTA-824586,CLI-29536,2026-06-06 02:11:00,4725309.64,CRC,comision,app_movil,SJ-002,Tarjeta Crédito
TXN-00000049,CTA-143860,CLI-50404,2026-06-27 12:15:00,2149503.78,CRC,transferencia,app_movil,AL-001,Tarjeta Crédito
TXN-00000050,CTA-470858,CLI-83385,2026-06-10 13:27:00,3335000.12,CRC,pago,sinpe,CA-001,Cuenta Ahorro
TXN-00000051,CTA-950155,CLI-33206,2026-06-11 18:34:00,4881053.96,CRC,pago,app_movil,AL-001,Cuenta Ahorro
