transaccion_id,cuenta_id,cliente_id,fecha_hora,monto,moneda,tipo_transaccion,canal,sucursal_id,producto
TXN-00005001,CTA-767929,CLI-18711,2026-06-04 07:46:00,1289914.49,CRC,deposito,sinpe,LI-001,Cuenta Corriente
TXN-00005002,CTA-112142,CLI-74068,2026-06-30 03:08:00,139812.06,CRC,deposito,sucursal,AL-001,Préstamo Personal
TXN-00005003,CTA-134653,CLI-57248,2026-06-30 13:33:00,264737.61,CRC,retiro,sucursal,CA-001,Cuenta Corriente
TXN-00005004,CTA-544419,CLI-67375,2026-06-15 01:49:00,820586.95,CRC,retiro,atm,HE-001,Cuenta Ahorro
TXN-00005005,CTA-431311,CLI-65629,2026-06-26 12:15:00,3349203.86,CRC,deposito,app_movil,HE-001,Préstamo Personal
TXN-00005006,CTA-751347,CLI-84825,2026-06-05 22:41:00,3340709.28,CRC,comision,atm,LI-001,Tarjeta Crédito
TXN-00005007,CTA-189413,CLI-79984,2026-06-07 10:44:00,3960738.9,CRC,transferencia,atm,PU-001,Tarjeta Crédito
TXN-00005008,CTA-432115,CLI-80164,2026-06-10 12:59:00,3816180.25,CRC,retiro,web,LI-002,Préstamo Hipotecario
TXN-00005009,CTA-211638,CLI-45351,2026-06-06 18:59:00,301071.62,CRC,comision,sinpe,LI-001,Tarjeta Crédito
TXN-00005010,CTA-240054,CLI-35539,2026-06-02 10:17:00,3995562.23,CRC,transferencia,sinpe,AL-001,Tarjeta Crédito
TXN-00005011,CTA-636006,CLI-17335,2026-06-27 23:53:00,4127560.15,CRC,retiro,atm,CA-001,Cuenta Ahorro
TXN-00005012,CTA-945010,CLI-74990,2026-06-24 02:51:00,1680980.19,CRC,transferencia,app_movil,SJ-001,Préstamo Personal
TXN-00005013,CTA-761076,CLI-69121,2026-06-24 03:23:00,2929960.61,CRC,retiro,atm,SJ-002,Tarjeta Crédito
TXN-00005014,CTA-394124,CLI-72044,2026-06-14 09:52:00,1791284.54,CRC,pago,web,AL-001,Préstamo Personal
TXN-00005015,CTA-386756,CLI-84120,2026-06-12 12:27:00,3893246.24,CRC,pago,atm,HE-001,Préstamo Hipotecario
TXN-00005016,CTA-396025,CLI-16929,2026-06-12 03:54:00,1531289.58,CRC,deposito,web,SJ-001,Cuenta Corriente
TXN-00005017,CTA-672875,CLI-66936,2026-06-18 14:11:00,1951482.9,CRC,retiro,web,AL-001,Tarjeta Crédito
TXN-00005018,CTA-722531,CLI-39867,2026-06-17 14:41:00,2484698.6,CRC,comision,atm,CA-001,Tarjeta Crédito
TXN-00005019,CTA-205566,CLI-28312,2026-06-30 17:29:00,104467.81,CRC,deposito,app_movil,PU-001,Tarjeta Crédito
